203082,n203082.png,Terrence,Ross,Guard,Forward,63.8,8.3,2.4,1.5,0.2,0.6,0.7,0.3,2.1,7.4,3.2,0.5,0.4,1.5
203083,n203083.png,Andre,Drummond,Center,Center,64.5,6,6.6,0.5,0.4,0.7,1.1,2.1,4.6,4.1,2.5,1.9,1,0
203084,n203084.png,Harrison,Barnes,Forward,Forward,73.8,15,4.5,1.6,0.1,0.7,1,1.1,3.4,9.6,4.6,5,4.3,1.6
203085,n203085.png,Austin,Rivers,Guard,Guard,59.2,4.9,1.6,1.4,0.1,0.5,0.4,0.1,1.5,4,1.8,0.8,0.6,0.8
203086,n203086.png,Meyers,Leonard,Forward,Center,59.3,4.8,3.8,0.1,0,0.2,0.7,1.3,2.4,3.2,1.6,1,0.9,0.8
203095,n203095.png,Evan,Fournier,Guard,Forward,59.5,6.1,1.8,1.3,0.1,0.6,0.8,0.1,1.7,6.1,2.1,0.8,0.7,1.3
203109,n203109.png,Jae,Crowder,Forward,Forward,64.7,6.9,3.8,1.5,0.3,0.7,0.4,0.9,2.9,5.2,2.5,0.7,0.6,1.3
203110,n203110.png,Draymond,Green,Forward,Forward,76.5,8.5,7.2,6.8,0.8,1,2.8,0.9,6.3,6.5,3.4,1.5,1.1,0.5
203114,n203114.png,Khris,Middleton,Forward,Forward,76.7,15.1,4.2,4.9,0.2,0.7,2.2,0.8,3.4,12.3,5.4,3.1,2.8,1.5
203115,n203115.png,Will,Barton,Guard,Guard,62.1,6.8,2.4,2,0.2,0.5,0.9,0.3,2.2,6.5,2.5,0.8,0.7,1.2
203200,n203200.png,Justin,Holiday,Forward,Guard,57.6,4.5,1.2,0.9,0.4,0.4,0.5,0.1,1.1,4.4,1.7,0.2,0.1,1
203210,n203210.png,JaMychal,Green,Forward,Center,62.7,6.4,3.6,0.9,0.4,0.4,0.9,1.3,2.3,4.4,2.4,1.2,0.9,0.7
203457,n203457.png,Nerlens,Noel,Center,Forward,56.6,2.1,2.7,0.6,0.6,0.9,0.8,0.6,2.1,2.1,0.8,0.7,0.5,0.1
